nohup: ignoring input
Namespace(batchSize=48, chop=False, cuda=True, loss='1*VGG54+0.01*GDL', lr=0.0001, nEpochs=1000, patchSize=64, pre_train='./experiment/G_0.105.pth', rgb_range=255, seed=123, testBatchSize=1, threads=4)
===> Loading datasets
===> Building model
Let's use 4 GPUs!
load model from ./experiment/G_0.105.pth ...
success!
Preparing loss function:
1.000 * VGG54
0.010 * GDL
Setting up [LPIPS] perceptual loss: trunk [alex], v[0.1], spatial [off]
Loading model from: /root/miniconda3/lib/python3.7/site-packages/lpips/weights/v0.1/alex.pth
===> D_Epoch[1](146/2480): Loss: 0.613776
===========> G_Epoch[1](147/2480): Loss: 0.617834
===> D_Epoch[1](147/2480): Loss: 0.555074
===========> G_Epoch[1](148/2480): Loss: 0.626021
===> D_Epoch[1](148/2480): Loss: 0.587783
===========> G_Epoch[1](149/2480): Loss: 0.585392
===> D_Epoch[1](149/2480): Loss: 0.663458
===========> G_Epoch[1](150/2480): Loss: 0.707349
===> D_Epoch[1](150/2480): Loss: 0.636008
===========> G_Epoch[1](151/2480): Loss: 0.623595
===> D_Epoch[1](151/2480): Loss: 0.649530
===========> G_Epoch[1](152/2480): Loss: 0.714449
===> D_Epoch[1](152/2480): Loss: 0.637728
===========> G_Epoch[1](153/2480): Loss: 0.651532
===> D_Epoch[1](153/2480): Loss: 0.602089
===========> G_Epoch[1](154/2480): Loss: 0.753479
===> D_Epoch[1](154/2480): Loss: 0.643699
===========> G_Epoch[1](155/2480): Loss: 0.786806
===> D_Epoch[1](155/2480): Loss: 0.593363
===========> G_Epoch[1](156/2480): Loss: 0.609594
===> D_Epoch[1](156/2480): Loss: 0.619617
===========> G_Epoch[1](157/2480): Loss: 0.675335
===> D_Epoch[1](157/2480): Loss: 0.621013
===========> G_Epoch[1](158/2480): Loss: 0.761081
===> D_Epoch[1](158/2480): Loss: 0.645448
===========> G_Epoch[1](159/2480): Loss: 0.505887
===> D_Epoch[1](159/2480): Loss: 0.575165
===========> G_Epoch[1](160/2480): Loss: 0.866795
===> D_Epoch[1](160/2480): Loss: 0.544500
===========> G_Epoch[1](161/2480): Loss: 0.891230
===> D_Epoch[1](161/2480): Loss: 0.643604
===========> G_Epoch[1](162/2480): Loss: 0.620839
===> D_Epoch[1](162/2480): Loss: 0.565368
===========> G_Epoch[1](163/2480): Loss: 0.883174
===> D_Epoch[1](163/2480): Loss: 0.548823
===========> G_Epoch[1](164/2480): Loss: 0.714278
===> D_Epoch[1](164/2480): Loss: 0.563060
===========> G_Epoch[1](165/2480): Loss: 0.841961
===> D_Epoch[1](165/2480): Loss: 0.635694
===========> G_Epoch[1](166/2480): Loss: 0.720440
===> D_Epoch[1](166/2480): Loss: 0.568866
===========> G_Epoch[1](167/2480): Loss: 0.866635
===> D_Epoch[1](167/2480): Loss: 0.567827
===========> G_Epoch[1](168/2480): Loss: 0.725834
===> D_Epoch[1](168/2480): Loss: 0.599858
===========> G_Epoch[1](169/2480): Loss: 0.553892
===> D_Epoch[1](169/2480): Loss: 0.636526
===========> G_Epoch[1](170/2480): Loss: 0.633763
===> D_Epoch[1](170/2480): Loss: 0.575404
===========> G_Epoch[1](171/2480): Loss: 0.524856
===> D_Epoch[1](171/2480): Loss: 0.564890
===========> G_Epoch[1](172/2480): Loss: 0.742836
===> D_Epoch[1](172/2480): Loss: 0.566688
===========> G_Epoch[1](173/2480): Loss: 0.564464
===> D_Epoch[1](173/2480): Loss: 0.541296
===========> G_Epoch[1](174/2480): Loss: 0.685198
===> D_Epoch[1](174/2480): Loss: 0.573017
===========> G_Epoch[1](175/2480): Loss: 0.744360
===> D_Epoch[1](175/2480): Loss: 0.593176
===========> G_Epoch[1](176/2480): Loss: 0.688141
===> D_Epoch[1](176/2480): Loss: 0.584106
===========> G_Epoch[1](177/2480): Loss: 0.564732
===> D_Epoch[1](177/2480): Loss: 0.685417
===========> G_Epoch[1](178/2480): Loss: 0.759599
===> D_Epoch[1](178/2480): Loss: 0.582605
===========> G_Epoch[1](179/2480): Loss: 0.785640
===> D_Epoch[1](179/2480): Loss: 0.639385
===========> G_Epoch[1](180/2480): Loss: 0.732018
